DEF A 30000
-949 24102
-717 147222
348 365159
255 29638
91 430029
426 445536
405 74281
-159 267253
-326 238829
-817 37610
-432 75382
-801 84977
-384 427010
976 427319
516 60931
836 410173
477 183132
-348 143890
379 39964
-300 467184
487 350075
940 321062
872 234881
1 388119
259 133756
590 346285
-765 53186
-518 222065
491 315703
66 358414
-377 367270
99 313260
-93 49369
528 239545
-646 347560
998 478775
-47 190342
759 400568
-162 285372
185 43315
499 485309
-37 300257
-59 13060
673 374115
-62 304001
-986 159113
65 325507
973 405768
-334 188850
-557 286819
-771 249738
-848 441136
940 136402
-899 26720
-289 454990
198 155682
248 274142
-497 322354
680 402940
-262 490073
127 219529
860 283975
838 376297
-967 101392
388 44401
-809 35196
-970 145688
898 260819
507 476536
-575 260149
-361 164347
-437 265521
388 114200
581 423148
-765 207415
883 246867
595 193280
300 331777
855 422249
818 112643
301 192736
-916 180898
528 57624
240 95880
743 258548
-762 297682
996 309231
-10 71589
-702 141956
675 433447
286 100430
425 422075
92 426686
123 209580
458 33463
-521 62929
-129 280250
45 358508
934 41343
935 428503
470 152974
-870 404517
-503 212339
-143 433342
711 332516
-268 75417
-260 252471
-138 202642
590 456118
-849 197861
-321 334232
-110 315815
793 410701
-794 414644
687 491350
535 278890
-999 231627
682 456087
-918 473128
-700 414686
-86 469059
368 209313
282 435165
563 407927
-510 19487
-260 51254
599 54233
-82 410798
342 438035
532 171364
-148 367907
-188 153723
662 84339
350 152112
226 104683
-71 463568
639 252180
523 378995
348 195748
-215 205586
675 96196
-973 78545
232 72291
24 32484
791 466503
-81 91997
-884 367467
350 275974
-843 54978
-802 372668
650 185944
-372 74425
123 115802
-512 59309
-810 403834
170 124318
228 138162
789 478442
-913 1445
-430 132319
-122 79507
-61 414016
-61 229413
-461 168917
846 498757
-836 269305
26 184530
485 182706
688 215648
-627 256318
-731 444397
-81 132012
958 451950
59 401118
943 171829
306 242783
978 349217
-942 103006
-345 394980
692 471729
814 318647
862 174332
-680 402848
-64 285463
-651 268531
-490 341254
-895 14814
135 186598
857 87768
-808 320895
262 129161
-266 172508
-311 58934
758 437146
-170 351853
-466 339227
922 454007
856 99047
576 103221
166 458779
787 366208
403 342103
642 102576
301 94986
-539 485879
142 293462
-394 375250
-562 379320
200 479231
-182 295146
687 81444
-429 457404
-764 197488
-994 173590
64 259029
-857 203291
-926 120436
170 483024
278 30966
931 235476
-81 375291
-904 177009
-779 7577
608 63047
854 209988
51 389784
700 421157
332 240972
-536 82071
275 124773
-502 208977
-750 80573
-766 95341
-861 332333
108 276930
-305 149294
-162 166035
272 265656
-310 117169
596 262111
-911 184043
-623 250730
-834 242142
-674 466128
941 429172
230 39960
-974 235743
-986 160293
957 49732
-139 280275
502 480063
-124 464996
-43 487916
723 445818
-960 46469
-633 249532
-226 378178
297 5129
699 2867
-205 3792
-871 170970
754 233174
45 178077
-637 253105
451 108076
710 383872
59 409773
-712 230006
-19 161828
749 487620
884 52006
71 337306
683 255694
-951 223960
-46 244476
624 207275
-163 206735
-20 34630
638 326469
-207 200242
841 382821
-303 244833
226 239496
-646 274380
-581 194553
267 174368
-279 394996
-250 119211
-880 79616
977 476708
545 171804
-751 359357
731 76496
-854 254246
-387 441838
181 67681
857 430644
672 418663
469 364437
-163 135962
-23 436288
353 270329
465 19063
-340 457688
-41 271667
976 273595
-717 221829
796 4002
-488 69860
478 297591
-854 218565
-648 256693
732 78156
372 46946
-737 104058
709 312030
-805 431812
-459 18465
-542 171239
-684 30919
-482 238975
561 106314
-435 155490
-752 368250
264 479413
-265 152055
429 105662
-323 55606
964 303405
-546 74451
515 251859
-59 476597
364 36544
-464 466418
158 474397
-677 323114
-488 420381
-2 365428
676 367614
24 12724
-525 170590
822 196643
-66 278363
765 291708
-249 416809
-246 464346
473 220187
-54 382211
296 109434
488 413965
-181 465862
814 402117
-395 32204
-58 173169
-939 376652
870 137549
677 415065
47 493182
-454 207788
198 274873
501 156578
618 35223
-862 322966
-578 260252
712 6540
296 360851
-698 113644
-777 432989
851 288735
978 26553
-196 474259
-675 455074
357 242733
295 290790
647 260385
665 177603
-951 280146
119 17751
-833 111467
345 356863
-393 491373
-13 65144
158 376065
-231 469671
486 244864
-224 209610
-362 164116
-281 114348
823 145091
-258 292100
917 418531
-120 359995
917 297303
-946 174226
302 73660
628 340571
-93 101748
604 249648
408 317083
-243 324959
139 117359
770 160902
-360 333021
-948 406779
64 49376
-714 113561
717 149529
113 185333
-37 454899
884 140156
-986 56837
127 304886
-573 30133
-271 309792
896 304795
913 343958
505 95967
-466 56046
-368 491119
-116 492612
-167 373450
-895 183738
322 430994
-251 399915
718 375499
-377 269556
935 291669
-819 61873
785 321021
342 379839
-61 139397
-520 453031
111 61723
136 252179
-468 421945
733 379916
-21 139862
806 340745
-598 122599
499 133736
689 207911
-583 375780
-375 448359
674 264724
146 243123
-479 293568
143 308443
-349 72204
-388 71863
332 416329
92 85337
2 167461
438 223996
-587 188445
751 88546
155 150952
-406 481615
242 8576
336 400162
-622 314572
-416 408852
832 148771
-585 294589
252 12449
-476 445298
-496 327272
-16 419140
504 124536
-691 238258
387 130747
-441 336274
555 480589
361 16911
185 360231
228 290217
-494 327495
263 244139
929 110938
-286 433732
432 374352
260 113444
807 95471
